Nombre_d_eleves,Type_etablissement,Code_departement,latitude,longitude
580.0,Lycée,87,45.82621568420537,1.2753695362754716
195.0,Lycée,25,47.24589106141387,6.034630526642228
91.0,Lycée,89,47.48702362931049,3.907170633869314
154.0,Lycée,39,46.67909087933176,5.5640202201687075
1183.0,Lycée,62,50.95670366866296,1.8360201778438685
41.0,Lycée,59,50.62988714096138,3.0400794760461287
57.0,Lycée,13,43.289561405249565,5.377269964765381
435.0,Lycée,93,48.90823026278574,2.428769796938596
646.0,Lycée,77,48.84241962772322,2.6155404739138315
244.0,Lycée,77,48.562284908527104,3.2933201525794558
466.0,Lycée,76,49.40557215539195,1.1383493889947576
654.0,Lycée,76,49.448336850617295,1.0854703025886934
1113.0,Lycée,69,45.7711457208439,4.878280074677381
812.0,Lycée,974,-21.04899945184889,55.714589593317115
555.0,Lycée,95,48.96754365896361,2.3128496276676405
1128.0,Lycée,91,48.733475902891215,2.2665099835224223
787.0,Lycée,13,43.395585797674855,5.234914965412306
530.0,Lycée,36,46.583539724019744,1.9774405185490849
214.0,Lycée,974,-20.896018712845493,55.4315102917845
798.0,Lycée,56,47.950103297676655,-2.138689926394852
741.0,Lycée,33,44.824807830236,-0.5814396254325896
381.0,Lycée,35,47.64799467349554,-2.0894595654005963
280.0,Lycée,69,45.75532333388444,4.828229766470232
340.0,Lycée,972,14.61016406409612,-61.09085224973954
245.0,Lycée,13,43.28970596843975,5.386920004762911
103.0,Lycée,55,49.160598098107464,5.381209362846495
647.0,Lycée,74,46.073466939367506,6.298370542165282
202.0,Lycée,45,47.777088963718064,1.6340694158700717
365.0,Lycée,2B,42.698541788972605,9.451509464552837
119.0,Lycée,75,48.86126933104095,2.2724503722613822
253.0,Lycée,75,48.84286816371917,2.286150494949569
134.0,Lycée,60,49.41632030267681,2.8293496873859034
1924.0,Lycée,31,43.45427229243785,1.3306893943397458
306.0,Lycée,31,42.7921570492819,0.5986195406197539
221.0,Lycée,81,43.62787883197217,2.260609955990983
1538.0,Lycée,31,43.53984199380689,1.548711257112798
397.0,Lycée,74,45.86808007848182,5.944719429851986
179.0,Lycée,09,43.23391298259741,1.5796704161263866
323.0,Lycée,974,-20.89205560468384,55.47591964282426
121.0,Lycée,36,46.95190634904869,1.9969402386333848
657.0,Lycée,22,48.52363704441286,-2.7895606361448286
185.0,Lycée,64,43.283839765941636,-0.37384668362647794
311.0,Lycée,28,48.73609965721594,1.3437304392762617
197.0,Lycée,88,48.2085118971616,6.719149490749175
798.0,Lycée,59,50.377925395636865,3.070890404550957
177.0,Lycée,59,50.69396946373187,3.1820094551003977
116.0,Lycée,72,48.18798990855797,0.6466306121596787
1172.0,Lycée,11,43.17753505377269,3.0021901621892777
431.0,Lycée,69,45.698001290303466,4.890109831902843
1118.0,Lycée,22,48.515896427694656,-2.752559945001081
1039.0,Lycée,56,47.675159974502506,-2.7732903025758855
443.0,Lycée,35,48.091718153761164,-1.6883095037119014
648.0,Lycée,38,45.17959865058213,5.730339441788938
337.0,Lycée,38,45.39194986308959,5.2548505621310015
85.0,Lycée,57,49.105160886695884,6.7081398871756255
1713.0,Lycée,76,49.50186110854654,0.08934050809684613
229.0,Lycée,65,43.38875792956981,0.05631971233100795
466.0,Lycée,53,48.15215604323232,-0.3993806372392612
1209.0,Lycée,80,49.89740785642812,2.273170668709044
1246.0,Lycée,80,50.083843611682575,1.5490493689105953
509.0,Lycée,78,48.88809930878303,2.1470606693510392
1464.0,Lycée,75,48.84767182161589,2.4083201185107144
796.0,Lycée,37,47.394190993238446,0.6911595488264042
185.0,Lycée,09,42.92105274559271,1.8410203597769828
430.0,Lycée,54,48.59745528881474,6.512220017841622
561.0,Lycée,14,49.170589387923286,-0.3423105627361516
580.0,Lycée,90,47.64126221316138,6.857920033628947
820.0,Lycée,78,48.764663863857535,2.0682801922475083
1497.0,Lycée,29,48.45289875416107,-4.250290598884043
1246.0,Lycée,56,47.672255599896545,-2.979710208529418
46.0,Lycée,34,43.614725708535715,3.1568899058134874
496.0,Lycée,66,42.513652177509115,2.044249771716244
247.0,Lycée,69,45.716268061695814,4.812259749755048
1089.0,Lycée,59,50.72565833616726,3.1571806711317283
809.0,Lycée,34,43.62619062281289,3.4319695002429342
894.0,Lycée,71,46.79132336826569,4.856219412570856
987.0,Lycée,56,47.652913694147884,-2.777550553950348
374.0,Lycée,83,43.127781895662295,5.955790421200633
376.0,Lycée,78,48.77020693587828,2.1217894796755967
857.0,Lycée,13,43.51197305485484,5.434030361985671
307.0,Lycée,42,45.43991636942769,4.395680306498915
1182.0,Lycée,51,48.72797390343962,4.5965606551218166
1595.0,Lycée,973,4.941547380454115,-52.30179976663617
1948.0,Lycée,31,43.58914042072771,1.4264598048930772
736.0,Lycée,67,48.77865680964885,7.8463798483278095
426.0,Lycée,67,48.60591544385079,7.707390321316106
230.0,Lycée,44,47.44096669635443,-2.0956105246001706
1199.0,Lycée,33,44.85030270376704,-0.5820502060798751
561.0,Lycée,47,44.18732800174981,0.622918411119518
272.0,Lycée,78,48.80463101870252,2.135129603070136
725.0,Lycée,2A,41.59866204378821,9.273669417583404
935.0,Lycée,53,48.06776600923271,-0.7589294644169176
563.0,Lycée,76,49.515645215672315,0.16438983051384692
351.0,Lycée,77,48.40616261666006,2.6901702327511776
111.0,Lycée,93,48.91119017642334,2.3864600979158492
336.0,Lycée,77,48.9485536439166,3.128019665124933
